Title,Link
Adobe.Acrobat.CVE-2024-39425.Race.Condition,https://www.fortiguard.com/encyclopedia/ips/56586
Google.Chrome.V8.BuildElementAccess.Type.Confusion,https://www.fortiguard.com/encyclopedia/ips/56519
SonicWall.SMA100.sitecustomization.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56482
MS.Windows.DWM.Core.CVE-2024-38150.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/56280
MS.Windows.Driver.CVE-2024-38193.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/56284
Realtek.rtl819x.Jungle.SDK.boa.setRepeaterSsid.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/56148
MS.Windows.Win32k.CVE-2024-38059.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/56085
TP-Link.Archer.Devices.login.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/56088
Atlassian.Confluence.CVE-2024-21683.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/55994
Phicomm.K2.AutoUpTime.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55952
